question,intent
What does abutment of the nerve root mean?,general_info
What should I do to reduce my weight gained due to genetic hypothyroidism?,general_info
"I have started to get lots of acne on my face, particularly on my forehead. Please help me.",general_info
Why do I have uncomfortable feeling between the middle of my spine and left shoulder blade?,general_info
My symptoms after intercourse threatns me even after having negative HIV result. Kindly help.,symptoms
I had a surgery which ended up with some failures. What can I do to fix it?,general_info
Kindly explain about Beta Strep.,general_info
Kindly suggest a homeopathic medicine to stop hairfall and promote hair growth.,medication
Will Nano-Leo give permanent solution for erection problem?,general_info
"Every time I eat spicy food, I poop blood. Why?",general_info
Will Kalarchikai cure multiple ovarian cysts in PCOD?,general_info
I masturbate only by rubbing the tip of the penis. Is it a wrong way?,general_info
I have stomach pain and bloating after taking Augmentin 625. Why?,symptoms
Can a painless tooth be extracted since it has a hole in it?,symptoms
What does the darker pigmentation at the armpits indicate?,general_info
I get fever during rainy and winter season. Why?,symptoms
Why does one develop swelling after snake bite?,general_info
Why is there a continuous rise in temperature despite taking antibiotics?,medication
Can my 3 year old son lead a normal life after sepsis?,general_info
What is the main reason for sepsis in a newborn?,general_info
I have bulging eye problem for a year even after some treatment. Why?,general_info
Why are my hands and feet cold and sweaty always?,general_info
Can thyroid problem cause excessive hair fall?,general_info
Why do I face difficulty in losing weight?,general_info
Suffering from subclinical hyperthyroidism with anxiety and palpitations.,general_info
Is PAP test valid for screening prostatitis symptoms?,symptoms
Why is my free PSA abnormal?,general_info
I have frequent urination and minimal calcification. Does it mean prostate cancer?,general_info
Please enlighten me on non-invasive procedures to detect prostate cancer.,general_info
What is the reason for continuous eye allergy and irritation?,general_info
When should I stop Clexane and Ecosprin should before delivery?,general_info
Are my symptoms due to HIV infection? I had a high-risk exposure 15 months ago.,symptoms
Is stretching exercise helpful for tight foreskin?,prevention
My husband is over-possessive and controlling. Please help me.,general_info
What can cause pimples near penis?,general_info
How to calculate the number of days of pregnancy?,general_info
"As I am having a history of miscarriages, will taking hCG injections help me to continue pregnancy?",general_info
How to increase my height?I am 23 years old.,general_info
Is it safe to take Clenbuterol being overweight and asthmatic?,general_info
Shall I take Raw Bovine Ovary pills to increase breast size?,general_info
What can cause genital numbness?,general_info
What causes warmness in the left side of chest?,general_info
Why the absolute monocytes are low in my routine blood work?,general_info
How to overcome sexual attraction towards my mother?,general_info
Can Yasmin birth control pill be used as an emergency contraceptive pill?,emergency
What are the causes of brown discoloration of the skin around the fingertips?,general_info
Please explain the reason for weight gain during pregnancy.,general_info
